Dimensiones de Corte Ventana Oscilo-Batiente de 2 Hojas,,,,,,,,,
Función,,Código,Peso Kg/m,Forma       Cant.,,,,Largo,Corte
Marco,,668,"0,66",,,2,,A,45°45°
,,,,,,2,,H,45°45°
Hoja,,"695
696","0,86
0,90",,,4,,A/2-23,45°45°
,,,,,,4,,H-39,45°45°
,,"639
640","0,99
1,00",,,4,,A/2-23,45°45°
,,,,,,4,,H-39,45°45°
Inversor,,694,"0,80",,,1,,H-94,90º 90º
Varilla,,9469,"0,16",,,2,,"Ver
pág. 56",90º 90º
Contravidrio,,Contravidrios Curvos,,,,4,,A/2-107,45°45°
,,,,,,4,,H-123,45°45°
,,Contravidrios Rectos,,,,4,,A/2-107,90°90°
,,,,,,4,,H-157,90°90°
Tolerancia en Peso +/- 10% Tolerancia largo +10 mm -0 mm,,,,,,,,,"- Medidas en milímetros
- Dimensiones de Corte de Premarco y Contramarco,
en página 55
- Detalle  de Accesorios para Fijación, Premarco y Contramarco en página 55
- sim : según medida
27-03-26 DELTA.32"
,,,,,,,,,
Detalle de Accesorios Ventana Oscilo-Batiente de 2 Hojas,,,,,,,,,
Código,Descripción,,,,Forma,,Cantidad,,
8423,Escuadra de Armado E-69,,,,,,12 Unidades,,
,Tornillo Parker 8 x 17z T-15/F,,,,,,sim,,
8916,Clip Contravidrio T-96,,,,,,sim,,
8913,Burlete de Acristalamiento B-68,,,,,,2A + 4H,,
8209,Cuña Chica,,,,,,2A + 4H,,
8210,Cuña Mediana,,,,,,,,
8211,Cuña Grande,,,,,,,,
8906,Burlete AEL Europeo,,,,,,2A + 3H,,
8914,Burlete de Hermeticidad B-67,,,,,,2A + 3H,,
9205,Falleba Euro o Prima para Oscilo-Batiente,,,,,,1 Unidad,,
9206,Mecanismo OB para hoja de hasta 80 kg.,,,,,,1 Unidad,,
9207,Brazo Tipo I (Ancho Hoja 410 a 570 mm.),,,,,,1 Unidad,,
9208,Brazo Tipo II (Ancho Hoja 571 a 1700 mm.),,,,,,,,
9209,Comp. Sup. (Ancho Hoja 1100 a 1700 mm.),,,,,,Ver pág. 56,,
9210,"Cierre Sup. (Alto Hoja superior a 1200 mm.
/ Ancho Hoja superior a  1000 mm.)",,,,,,Ver pág. 56,,
9212,Pasador para Hoja Pasiva H-83,,,,,,2 Unidades,,
8908,Bisagra H-61 de 2 piezas con Kit,,,,,,2 Unidades,,
9212,Pasador Hoja Pasiva H-83,,,,,,2 Unidades,,
8451,Tapón Encuentro 2 Hojas T-98,,,,,,2 Unidades,,
8366,Tapa Desague T-69,,,,,,2 Unidades,,